Component,Description,Part,References,Value,Footprint,Quantity Per PCB,Datasheet,Digikey P/N,Mfg. Part Num,Vendor Part Num,Vendor Name,Mfg. Name,Vendor,Vendor P/N,MFG. P/N,Manufacturer,Package,MP,Stuffing,Tolerance,Manufacturer P/N,Mfr P/N
66,,R_large,R508,11.3k,R_0805_HandSoldering,1,,,,,Digi-Key,,DigiKey,311-11.3KCRCT-ND,RC0805FR-0711K3L,Yageo,,,,1%,,
67,,R_large,R401,11.5k,R_0805_HandSoldering,1,,,,,Digi-Key,,DigiKey,311-11.5KCRCT-ND,RC0805FR-0711K5L,Yageo,,,,1%,,
68,,R,R228,12.4K,R_0805_HandSoldering,1,,,RC0805FR-0712K4L,311-12.4KCRCT-ND,,Yageo,,,,,,,,1%,,
69,,R_large,R502,124k,R_0805_HandSoldering,1,,,RC0805FR-07124KL,311-124KCRCT-ND,Digi-Key,Yageo,,,,,,,,,,
70,,R,R1306 R1307 R1402 R1403 R1511 R1512 R1602 R1603 R1704 R1705 R1802 R1803,150,R_0805_HandSoldering,12,,311-150HRCT-ND,,,,,,,,,,,,,,
71,,R_large,R2002,150,R_0805_HandSoldering,1,,,,,,,,,,,,,,,,
72,,R_large,R2003 R2004,15k,R_0805_HandSoldering,2,,,,,,,,,,,,,,,,
73,,R_large,R504,17.4k,R_0805_HandSoldering,1,,,RC0805FR-0717K4L,311-17.4KCRCT-ND,Digi-Key,Yageo,,,,,,,,,,
74,,R,R203 R1305 R1401 R1510 R1601 R1703 R1801 R2201,1M,R_0805_HandSoldering,8,,311-1.00MHRCT-ND,,,,,,,,,,,,,,
75,,R,R2307,1k,R_0805_HandSoldering,1,,,,,,,,,,,,,,,,
76,,R,R1104 R1106,20k,R_0805_HandSoldering,2,,,,,,,,,,,,,,,,
77,,R_large,R402,210k,R_0805_HandSoldering,1,,,RC0805FR-07210KL,311-210KCRCT-ND,Digi-Key,Yageo,,,,,,,,,,
78,,R,R1005 R1006 R1007 R1008,250,R_0805_HandSoldering,4,,,,,,,,,,,,,,,,
79,,R_large,R404,27.4k,R_0805_HandSoldering,1,,,RC0805FR-0727K4L,311-27.4KCRCT-ND,Digi-Key,Yageo,,,,,,,,,,
80,,R_large,R603 R703,29.4k,R_0805_HandSoldering,2,,,,,Digi-Key,,DigiKey,311-29.4KCRCT-ND,RC0805FR-0729K4L,Yageo,,,,1%,,
81,,R,R207 R208 R220 R225,33,R_0805_HandSoldering,4,,,RC0805FR-0733RL,311-33.0CRCT-ND,,Yageo,,,,,,,,,,
82,,R,R1702,330,R_0805_HandSoldering,1,,,,,,,,,,,,,,,,
83,,R-RESCUE-node,R209 R211,330,R_0805_HandSoldering,2,,,,,,,,,,,,,,,,
84,,R_large,R704,330,R_0805_HandSoldering,1,,,RC0805JR-07330RL,311-330ARCT-ND,Digi-Key,Yageo,,,,,,,,,,
85,,R_large,R405,348k,R_0805_HandSoldering,1,,,,,Digi-Key,,DigiKey,311-348KCRCT-ND,RC0805FR-07348KL,Yageo,,,,1%,,
86,,R,R1013 R1014 R1015 R1016,40k,R_0805_HandSoldering,4,,,,,,,,,,,,,,,,
87,,R,R1201,45k,R_0805_HandSoldering,1,,,,,,,DigiKey,311-.05SCT-ND,,,,,,,,
88,,R,R205 R206 R212 R213,49.9,R_0805_HandSoldering,4,,,RC0805FR-0749R9L,311-49.9CRCT-ND,,Yageo,,,,,,,,1%,,
89,,R,R907,50K,R_0805_HandSoldering,1,,,,,,,DigiKey,,,,,,,,,
90,,R_large,R702,51k,R_0805_HandSoldering,1,,,RC0805FR-0751KL,311-51.0KCRCT-ND,Digi-Key,Yageo,DigiKey,311-51.0KCRCT-ND,RC0805FR-0751KL,Yageo,,,,1%,,
91,,R,R1202,5k,R_0805_HandSoldering,1,,,,,,,DigiKey,311-5.1KJRCT-ND,,,,,,,,
92,,R_large,R901,5k,R_0805_HandSoldering,1,,,,,,,DigiKey,,,,,,,,,
93,,R_large,R505,66.5k,R_0805_HandSoldering,1,,,ERJ-6ENF6652V,P66.5KCCT-ND,Digi-Key,Panasonic,DigiKey,311-66.5KCRCT-ND,RC0805FR-0766K5L,Yageo,,,,1%,,
94,,R_large,R406,698,R_0805_HandSoldering,1,,,RC0805FR-07698RL,311-698CRCT-ND,Digi-Key,Yageo,,,,,,,,,,
95,,R,R1103 R1105,82k,R_0805_HandSoldering,2,,,,,,,,,,,,,,,,
96,,R_large,R602,93.1k,R_0805_HandSoldering,1,,,RC0805FR-0793K1L,311-93.1KCRCT-ND,Digi-Key,Yageo,DigiKey,311-93.1KCRCT-ND,RC0805FR-0793K1L,Yageo,,,,1%,,
97,,SW_Push,SW1701,SW_Push,C&K_switch_PTS645SM43SMTR92,1,,,,,,,DigiKey,CKN9112CT-ND,PTS645SM43SMTR92 LFS,C&K,,,,,,
98,,AD849X,U1301 U1401 U1508 U1601 U1702 U1801,AD849X,MSOP-8_3x3mm_Pitch0.65mm,6,http://www.analog.com/media/en/technical-documentation/data-sheets/AD8494_8495_8496_8497.pdf,,,,,,DigiKey,AD8495ARMZ-R7CT-ND,,Analog Devices,,,,,AD8495ARMZ-R7,
99,,ADS7953_38TSSOP,U901,ADS7953,TSSOP-38_4.4x9.7mm_Pitch0.5mm,1,,,,,,,DigiKey,,,,,,,,,
100,,BTS4300SGA,U2001,BTS4300SGA,SOIC-8_3.9x4.9mm_Pitch1.27mm,1,,,BTS4300SGAXUMA1,BTS4300SGAXUMA1CT-ND,,Infineon,,,,,,,,,,
101,,DAC7760,U1503 U1504,DAC7760,HTSSOP-24_7.8x4.4mm_Pitch0.65mm_ThermalPad,2,http://www.ti.com/lit/ds/symlink/dac7760.pdf,,,,,,DigiKey,296-37188-1-ND,,Texas Instruments,,,,,DAC7760IPWPR,
102,,DRV8806,U1501 U1502,DRV8806,TSSOP-16-1EP_4.4x5mm_Pitch0.65mm,2,,,DRV8806PWPR,296-34887-1-ND,,Texas Instruments,,,,,,,,,,
103,,IC_MICROCHIP_SAMD21G18A-A,U1701,IC_MICROCHIP_SAMD21G18A-A,TQFP-48_7x7mm_Pitch0.5mm,1,,,,,,,DigiKey,ATSAMD21G18A-AUTCT-ND,ATSAMD21G18A-AUT,Microchip Technology,,,,,,
104,,LM358,U1001 U1002,LM358,SOIC-8_3.9x4.9mm_Pitch1.27mm,2,,,LM358ADR,,296-14601-1-ND,Texas Instruments,,,,,,,,,,
105,,IC_TexasInstruments_Sequencer,U903,LM3880,SOT-23-6_Handsoldering,1,,,,,,,DigiKey,LM3880MF-1AA/NOPBCT-ND,,Texas Instruments,,,,,LM3880MF-1AA/NOPB,
106,,IC_Texas_Intruments_LM4132_LDO-REF,U904,LM4132,SOT-23-5,1,,,,,,,DigiKey,LM4132BMF-2.5/NOPBCT-ND,,Texas Instruments,,,,,LM4132BMF-2.5/NOPB,
107,,LMV601,U1201,LMV601,SOT-363_SC-70-6_Handsoldering,1,,,,,,,DigiKey,296-39050-1-ND,,Texas Instruments,,,,,LMV601MG/NOPB,
108,,OPA172,U1505 U1506,OPA172,SOT-23-5,2,,,,,,,DigiKey,296-40433-1-ND,OPA172IDBVR,Texas Instruments,,,,,,
109,,IC_Texas_Instruments_OPA192,U902,OPA192,SOT-23-5,1,,,,,,,DigiKey,296-42105-1-ND,,Texas Instruments,,,,,,OPA192IDBVR
110,,TLV71333PDBV,U905,TLV71333,SOT-23-5,1,,,TLV71333PDBV,,,,DigiKey,296-35591-1-ND,,Texas Instruments,,,,,,
111,,TPS54361,U401 U501,TPS54361,TI_buckreg_TPS54361DPRR,2,http://www.ti.com/lit/ds/symlink/tps54361.pdf,,TPS54361DPRR,296-40794-1-ND,Digi-Key,Texas Instruments,,,,,,,,,,
112,,TPS795,U601 U701,TPS795,SOT-223-6,2,,,TPS79501DCQR,296-13806-1-ND,Digi-Key,Texas Instruments,,,,,,,,,,
113,,W5500,U201,W5500,LQFP-48_7x7mm_Pitch0.5mm,1,DOCUMENTATION,,W5500,1278-1021-ND,,WIZnet,,,,,,,,,,
114,,POT_large,VR401 VR601 VR701,1k,TT_1k_potentiometer_23BR1KLFTR,3,,,23BR1KLFTR,490-2881-ND,Digi-Key,987-1015-1-ND,,,,,,,,,,
115,,Varistor,VR1601 VR1602,VR,R_0603_HandSoldering,2,,,CG0603MLC-05E,CG0603MLC-05ECT-ND,Digi-Key,Bourns,,,,,,,,,,
116,,Crystal,Y201 Y2302,25MHz,Murata_25MHz_XTAL_XRCGB25M000F3M00R0,2,,,XRCGB25M000F3M00R0,490-5578-1-ND,,Murata,,,,,,,,,,
117,,Crystal,Y2301,32.768kHz,TXC_32kHz_XTAL_9HT10-32.768KBZY-T,1,,,9HT10-32.768KBZY-T,887-2605-1-ND,,TXC,,,,,,,,,,





Component Groups:,119
Component Count:,373
Fitted Components:,369
Number of PCBs:,1
Total components:,369
Schematic Version:,Rev 1.0.0
Schematic Date:,2017-09-07
BoM Date:,"Wednesday, January 31, 2018 'AMt' 01:02:04 AM"
Schematic Source:,/Users/lukemerkl/Desktop/electrical/Node/node.sch
KiCad Version:,Eeschema 4.0.4-stable
